sample_name,group,locality,perc_dups,mean_quality_score,perc_bases_above_q30,perc_gc, reads,align_rate,assign_rate
GD2093,batch04,Llullaillaco,78.9,24.5,93.9,47,43037166,89.5,36.5
GD2094,batch04,Llullaillaco,76.2,25.9,93.5,47.2,42080484,89.5,38.1
GD2096,batch04,Llullaillaco,43,9.6,94,56.8,38554872,95.2,4.5
GD2099,batch04,Llullaillaco,69.7,20.4,93.8,47.4,52238604,90,37.3
GD2100,batch04,Llullaillaco,60.1,21.4,93.3,46.1,41571970,85.9,33.8
MCQ359,batch04,Ojos,73.3,23.8,93.4,46.6,43123154,89.4,38.3
MCQ360,batch04,Ojos,71.7,20.7,93.5,46.4,41650927,89.1,34.8
MCQ361,batch04,Ojos,70.6,25.1,93.5,47.3,44695323,90.5,40.4
MCQ362,batch04,Ojos,79.7,25.7,93.2,47.3,57039685,90.6,39
MCQ364,batch04,Ojos,71.2,18.2,93.4,45.6,43694067,87.1,26.1
MCQ365,batch04,Ojos,77.3,23.8,93.4,48,50322701,90.7,34.5
