code,locality,elevation,RV_standardized,fi
GD2093,Llullaillaco,5070,0.029795918,0.151138716
GD2094,Llullaillaco,5070,0.059565217,0.171357098
GD2096,Llullaillaco,5070,0.118604651,0.235892692
GD2099,Llullaillaco,5070,0.092413793,0.239072257
GD2100,Llullaillaco,5070,0.064255319,0.164309032
MCQ359,Ojos,5250,0.182913907,0.395135908
MCQ360,Ojos,5250,0.177234043,0.546050475
MCQ361,Ojos,5250,0.146785714,0.54763491
MCQ362,Ojos,5250,0.163333333,0.358536585
MCQ364,Ojos,5250,0.095657895,0.256346968
MCQ365,Ojos,5250,0.324390244,0.694154489
